zip,primary_state,population
32693,FL,12815
32694,FL,1962
32696,FL,12784
32697,FL,278
32701,FL,23265
32702,FL,3186
32703,FL,54805
32704,FL,
32706,FL,
32707,FL,37704
32708,FL,47045
32709,FL,2691
32710,FL,
32712,FL,50085
32713,FL,22438
32714,FL,38049
32715,FL,
32716,FL,
32718,FL,
32719,FL,
32720,FL,33568
32721,FL,
32723,FL,7
32724,FL,40559
32725,FL,50435
32726,FL,23012
32727,FL,
32728,FL,
32730,FL,5743
32732,FL,5596
32733,FL,
32735,FL,5812
32736,FL,11412
32738,FL,47284
32739,FL,
32744,FL,3789
32746,FL,45828
32747,FL,
32750,FL,25261
32751,FL,23230
32752,FL,
32753,FL,
32754,FL,11996
32756,FL,
32757,FL,30315
32759,FL,2951
32762,FL,
32763,FL,23391
32764,FL,3238
32765,FL,65228
32766,FL,16541
32767,FL,2939
32768,FL,15
32771,FL,57178
32772,FL,
32773,FL,33990
32774,FL,
32775,FL,36
32776,FL,12456
32777,FL,
32778,FL,23993
32779,FL,29321
32780,FL,39525
32781,FL,
32783,FL,
32784,FL,11212
32789,FL,26399
32790,FL,
32791,FL,
32792,FL,51376
32793,FL,
32794,FL,
32795,FL,
32796,FL,20818
32798,FL,2501
32799,FL,
32801,FL,17728
32802,FL,
32803,FL,21003
32804,FL,19084
32805,FL,23331
32806,FL,26582
32807,FL,34384
32808,FL,52551
32809,FL,29478
32810,FL,35925
32811,FL,42274
32812,FL,34586
32814,FL,9218
32815,FL,
32816,FL,8246
32817,FL,40376
32818,FL,48052
32819,FL,30857
32820,FL,10150
32821,FL,25999
32822,FL,64120
32824,FL,57412
32825,FL,61755
32826,FL,33065
32827,FL,19042
32828,FL,68428
32829,FL,20629
32830,FL,55
32831,FL,2619
32832,FL,34882
32833,FL,10542
32835,FL,45380
32836,FL,23205
32837,FL,56813
32839,FL,58641
32853,FL,
32854,FL,
32855,FL,
32856,FL,
32857,FL,
32858,FL,
32859,FL,
32860,FL,
32861,FL,
32862,FL,
32867,FL,
32868,FL,
32869,FL,
32872,FL,
32877,FL,
32878,FL,
32899,FL,0
32901,FL,26286
32902,FL,
32903,FL,13880
32904,FL,35399
32905,FL,26064
32906,FL,
32907,FL,44432
32908,FL,14420
32909,FL,36789
32910,FL,
32911,FL,
32912,FL,
32920,FL,9984
32922,FL,15923
32923,FL,
32924,FL,
32925,FL,1308
32926,FL,22693
32927,FL,27996
32931,FL,13643
32932,FL,
32934,FL,18355
32935,FL,41837
32936,FL,
32937,FL,27306
32940,FL,44869
32941,FL,
32948,FL,6609
32949,FL,2538
32950,FL,4545
32951,FL,11525
32952,FL,20670
32953,FL,24430
32954,FL,
32955,FL,40275
32956,FL,
32957,FL,
32958,FL,28619
32959,FL,32
32960,FL,21522
32961,FL,
32962,FL,26011
32963,FL,16291
32964,FL,
32965,FL,
32966,FL,19724
32967,FL,25785
32968,FL,15006
32969,FL,
32970,FL,253
32971,FL,
32976,FL,9618
32978,FL,
33001,FL,411
33002,FL,
33004,FL,16162
33008,FL,
33009,FL,43301
